Carteira;Robbu;CDA;Bragi;Grc Digital;VEND;Sales;Otima RCS;Making
Aldo Solar;10605;0;0;0;0;0;0;0
BV - WO;0;88635;590;253;59991;9510;0;0
BV - RENEG;0;11105;850;0;6359;2266;0;0
BV - CONTENCIOSO;0;63266;1387;0;29015;9068;0;0
BV - Bom Pagador;0;10724;1435;0;8104;7459;0;0
BV - ADM;0;13949;648;0;7552;2409;0;0
Banco Pan;582;0;0;19;0;0;8975;0
Banqi;0;0;0;0;0;810;7380;0
Bpf;700;0;1039;0;0;0;11862;5348
Brad Comercial PJ;0;2580;0;0;0;0;0;0
Bradesco Comercial;0;0;0;308;0;0;3889;0
Bradesco Lp;0;0;0;27;0;0;6593;0
Bradesco Lp PJ;0;2679;0;0;0;0;0;0
Bv Cart„es;0;54588;0;155;3127;0;0;0
Colch’o Itaœ;0;0;0;0;0;0;0;0
Digio;0;1126;521;7;0;0;230;0
Eavm - Next;0;0;0;0;0;0;0;0
EAVM CA;0;0;0;0;0;2411;16066;0
Eavm Classic;0;0;0;0;0;2414;12595;0
Eavm Exclusive;0;0;0;0;0;2410;13232;0
Eavm PJ;0;2670;0;0;0;0;0;0
ECORI;0;0;0;0;0;0;0;0
Itaœ Ve­culos;2695;0;1083;71;0;0;2441;0
Losango;0;0;142;86;0;1533;352;0
Ncor - Ativo;320;0;260;159;0;0;2408;0
Nubank;0;0;0;769;0;0;0;0
Pefisa;0;0;0;209;0;0;0;0
Pernambucanas;0;0;0;0;0;0;0;0
Safra Adm;919;199;0;14;0;0;307;0
Safra Call Center;2656;814;0;138;0;0;0;0
Safra Consignado;0;1610;0;22;0;0;1312;0
Sol Agora;12299;0;0;0;0;0;0;0
Tenda Construtora;0;0;0;5;0;0;0;0
Usinas;164;0;0;0;0;0;0;0
Via Varejo 22;0;1004;0;0;0;0;4842;0
Via Varejo 26;0;1608;0;0;0;0;7664;0
Via Varejo 50;0;2004;0;0;0;0;8234;0
Volkswagen;622;6926;0;230;0;0;3179;0
Welcome;0;0;0;0;0;0;0;0
